"id","nama","kecamatan_id","longitude","latitude"
"1","LATIUNG","1101010",NULL,NULL
"2","LABUHAN BAJAU","1101010",NULL,NULL
"3","SUAK LAMATAN","1101010",NULL,NULL
"4","ANA AO","1101010",NULL,NULL
"5","LATALING","1101010",NULL,NULL
"6","PULAU BENGKALAK","1101010",NULL,NULL
"7","BADEGONG","1101010",NULL,NULL
"8","KEBUN BARU","1101010",NULL,NULL
"9","ULUL MAYANG","1101010",NULL,NULL
"10","PASIR TINGGI","1101010",NULL,NULL
"11","LABUHAN JAYA","1101010",NULL,NULL
"12","LABUHAN BAKTI","1101010",NULL,NULL
"13","BATU RALANG","1101010",NULL,NULL
"14","ALUS ALUS","1101010",NULL,NULL
"15","SEUNEUBOK","1101010",NULL,NULL
"16","BLANG SEBEL","1101010",NULL,NULL
"17","TRANS BARU","1101010",NULL,NULL
"18","TRANS MERANTI","1101010",NULL,NULL
"19","TRANS JERNGE","1101010",NULL,NULL
"20","AIR PINANG","1101020",NULL,NULL
"21","KUALA MAKMUR","1101020",NULL,NULL
"22","GANTING","1101020",NULL,NULL
"23","LINGGI","1101020",NULL,NULL
"24","LUGU","1101020",NULL,NULL
"25","SINABANG","1101020",NULL,NULL
"26","SUKA MAJU","1101020",NULL,NULL
"27","SUKA KARYA","1101020",NULL,NULL
"28","SUKA JAYA","1101020",NULL,NULL
"29","AIR DINGIN","1101020",NULL,NULL
"30","KOTA BATU","1101020",NULL,NULL
"31","SUAK BULUH","1101020",NULL,NULL
"32","UJUNG TINGGI","1101020",NULL,NULL
"33","PULAU SIUMAT","1101020",NULL,NULL
"34","SEFOYAN","1101020",NULL,NULL
"35","AMAITENG MULIA","1101020",NULL,NULL
"36","AMERIA BAHAGIA","1101020",NULL,NULL
"37","SITAL","1101021",NULL,NULL
"38","LEUBANG","1101021",NULL,NULL
"39","LEUBANG HULU","1101021",NULL,NULL
"40","AWE SEUBAL","1101021",NULL,NULL
"41","LANTIK","1101021",NULL,NULL
"42","AWE KECIL","1101021",NULL,NULL
"43","SALUR","1101021",NULL,NULL
"44","SALUR LATUN","1101021",NULL,NULL
"45","SALUR LASENGALU","1101021",NULL,NULL
"46","NANCALA","1101021",NULL,NULL
"47","MAUDIL","1101021",NULL,NULL
"48","INOR","1101021",NULL,NULL
"49","NAIBOS","1101021",NULL,NULL
"50","LAAYON","1101021",NULL,NULL
"51","ANGKEO","1101021",NULL,NULL
"52","BUNON","1101021",NULL,NULL
"53","SILENGAS","1101021",NULL,NULL
"54","PULAU TEUPAH","1101021",NULL,NULL
"55","KAHAT","1101022",NULL,NULL
"56","BUSUNG INDAH","1101022",NULL,NULL
"57","NANCAWA","1101022",NULL,NULL
"58","LABUAH","1101022",NULL,NULL
"59","ABAIL","1101022",NULL,NULL
"60","SIMPANG ABAIL","1101022",NULL,NULL
"61","LANTING","1101022",NULL,NULL
"62","LASIKIN","1101022",NULL,NULL
"63","MATANURUNG","1101022",NULL,NULL
"64","SUA SUA","1101022",NULL,NULL
"65","BATU BATU","1101022",NULL,NULL
"66","SITUBUK","1101022",NULL,NULL
"67","DIHIT","1101030",NULL,NULL
"68","LAUKE","1101030",NULL,NULL
"69","LAMBAYA","1101030",NULL,NULL
"70","LAKUBANG","1101030",NULL,NULL
"71","KAMPUNG AIE","1101030",NULL,NULL
"72","LAUREE","1101030",NULL,NULL
"73","LATITIK","1101030",NULL,NULL
"74","LAMAYANG","1101030",NULL,NULL
"75","WEL WEL","1101030",NULL,NULL
"76","SITUFA JAYA","1101030",NULL,NULL
"77","PUTRA JAYA","1101030",NULL,NULL
"78","LUAN SORIP","1101030",NULL,NULL
"79","SUAK BARU","1101030",NULL,NULL
"80","SEBBE","1101030",NULL,NULL
"81","KUTA BARU","1101030",NULL,NULL
"82","WEL LANGKOM","1101030",NULL,NULL
"83","KUALA BAKTI","1101031",NULL,NULL
"84","LUGU SEBAHAK","1101031",NULL,NULL
"85","GUNUNG PUTIH","1101031",NULL,NULL
"86","BABUSSALAM","1101031",NULL,NULL
"87","MUARA AMAN","1101031",NULL,NULL
"88","LUAN BALU","1101031",NULL,NULL
"89","SAMBAI","1101031",NULL,NULL
"90","KUALA BARU","1101031",NULL,NULL
"91","TANJUNG RAYA","1101031",NULL,NULL
"92","BULU HADIK","1101031",NULL,NULL
"93","BUBUHAN","1101032",NULL,NULL
"94","AMARABU","1101032",NULL,NULL
"95","KUTA INANG","1101032",NULL,NULL
"96","KUTA PADANG","1101032",NULL,NULL
"97","LATAK AYAH","1101032",NULL,NULL
"98","SIBULUH","1101032",NULL,NULL
"99","BORENGAN","1101032",NULL,NULL
"100","UJUNG PADANG","1101032",NULL,NULL
"101","UJUNG SALANG","1101040",NULL,NULL
"102","PADANG UNOI","1101040",NULL,NULL
"103","MEUNAFA","1101040",NULL,NULL
"104","NASREUHE","1101040",NULL,NULL
"105","ALONG","1101040",NULL,NULL
"106","PANTON LAWE","1101040",NULL,NULL
"107","MUTIARA","1101040",NULL,NULL
